timestamp,dateUTC,hourUTC,dayOfWeek,session,price,atr,atrPercent,range,rangePercent,bbWidth,bbWidthPercent,adx,regime,rsi,ema8,ema21,ema50,trendStrength,bbUpper,bbLower,bbMiddle,distanceFromBBMiddle,distanceFromBBMiddlePercent,pricePosition
1763946540,2025-11-24T01:09:00.000Z,1,Monday,ASIAN,1.15076,0.000059,0.0051,0.000010,0.0009,0.000418,0.0363,28.01,TREND_UP,59.18,1.150743,1.150689,1.150588,1.00,1.150891,1.150472,1.150682,0.000078,0.0068,MIDDLE
1763946600,2025-11-24T01:10:00.000Z,1,Monday,ASIAN,1.15076,0.000057,0.0049,0.000030,0.0026,0.000410,0.0357,28.21,TREND_UP,59.18,1.150747,1.150696,1.150594,1.00,1.150896,1.150486,1.150691,0.000069,0.0060,MIDDLE
1763946660,2025-11-24T01:11:00.000Z,1,Monday,ASIAN,1.15076,0.000054,0.0047,0.000020,0.0017,0.000396,0.0344,28.22,TREND_UP,59.18,1.150750,1.150702,1.150601,1.00,1.150899,1.150503,1.150701,0.000059,0.0051,MIDDLE
1763946720,2025-11-24T01:12:00.000Z,1,Monday,ASIAN,1.15068,0.000056,0.0049,0.000080,0.0070,0.000368,0.0320,27.00,RANGE_VOLATILE,50.54,1.150734,1.150700,1.150604,0.50,1.150892,1.150524,1.150708,-0.000028,-0.0024,MIDDLE
1763946780,2025-11-24T01:13:00.000Z,1,Monday,ASIAN,1.15066,0.000055,0.0048,0.000040,0.0035,0.000329,0.0286,25.56,RANGE_VOLATILE,48.63,1.150718,1.150696,1.150606,0.50,1.150880,1.150550,1.150715,-0.000055,-0.0048,MIDDLE
1763946840,2025-11-24T01:14:00.000Z,1,Monday,ASIAN,1.15064,0.000054,0.0047,0.000050,0.0043,0.000310,0.0269,23.98,RANGE_QUIET,46.73,1.150701,1.150691,1.150607,0.50,1.150873,1.150564,1.150719,-0.000079,-0.0068,LOWER
1763946900,2025-11-24T01:15:00.000Z,1,Monday,ASIAN,1.15076,0.000062,0.0054,0.000150,0.0130,0.000280,0.0243,23.67,RANGE_QUIET,57.48,1.150714,1.150697,1.150613,1.00,1.150868,1.150588,1.150728,0.000032,0.0028,MIDDLE
1763946960,2025-11-24T01:16:00.000Z,1,Monday,ASIAN,1.15064,0.000070,0.0061,0.000170,0.0148,0.000271,0.0235,23.11,RANGE_QUIET,47.22,1.150697,1.150692,1.150615,0.50,1.150865,1.150594,1.150730,-0.000090,-0.0078,LOWER
1763947020,2025-11-24T01:17:00.000Z,1,Monday,ASIAN,1.15062,0.000067,0.0058,0.000030,0.0026,0.000279,0.0242,22.30,RANGE_QUIET,45.75,1.150680,1.150685,1.150615,0.00,1.150868,1.150588,1.150728,-0.000108,-0.0094,LOWER
1763947080,2025-11-24T01:18:00.000Z,1,Monday,ASIAN,1.15064,0.000068,0.0060,0.000090,0.0078,0.000285,0.0248,22.27,RANGE_QUIET,47.51,1.150671,1.150681,1.150616,0.00,1.150869,1.150584,1.150726,-0.000086,-0.0075,LOWER
