hour,session,count,avgATR,avgATRPercent,avgADX,trendPercent,rangePercent,avgRSI,TREND_UP,TREND_DOWN,RANGE_QUIET,RANGE_VOLATILE,UNCERTAIN
0,ASIAN,180,0.000068,0.0058,26.79,17.22,82.78,53.00,26,5,86,63,0
1,ASIAN,231,0.000099,0.0086,25.97,28.14,71.86,58.56,65,0,42,124,0
2,ASIAN,240,0.000093,0.0080,23.71,26.25,73.75,53.53,51,12,74,103,0
3,ASIAN,240,0.000080,0.0069,28.87,35.00,65.00,49.39,27,57,73,83,0
4,ASIAN,240,0.000063,0.0054,27.67,25.00,75.00,46.53,8,52,118,62,0
5,ASIAN,240,0.000067,0.0058,25.16,21.67,78.33,53.94,30,22,106,82,0
6,ASIAN,240,0.000088,0.0076,23.67,27.92,72.08,47.47,28,39,80,93,0
7,ASIAN,240,0.000116,0.0101,29.14,44.17,55.83,46.07,12,94,25,109,0
8,ASIAN,240,0.000149,0.0129,24.88,22.50,77.50,52.34,35,19,25,161,0
9,LONDON,240,0.000141,0.0122,23.84,17.50,82.50,48.15,8,34,21,177,0
10,LONDON,240,0.000122,0.0106,21.38,14.17,85.83,54.92,33,1,55,151,0
11,LONDON,220,0.000114,0.0099,25.47,26.82,73.18,47.19,24,35,40,121,0
12,LONDON,180,0.000176,0.0152,22.01,12.22,87.78,53.54,19,3,8,150,0
13,LONDON_NY_OVERLAP,180,0.000242,0.0210,24.83,21.67,78.33,49.50,29,10,0,141,0
14,LONDON_NY_OVERLAP,180,0.000209,0.0181,27.97,36.11,63.89,52.62,33,32,0,115,0
15,LONDON_NY_OVERLAP,180,0.000195,0.0169,28.99,33.89,66.11,53.00,32,29,1,118,0
16,NEW_YORK,180,0.000149,0.0128,27.21,33.33,66.67,47.22,22,38,7,113,0
17,NEW_YORK,180,0.000171,0.0148,30.83,40.56,59.44,51.88,35,38,30,77,0
18,NEW_YORK,180,0.000117,0.0101,24.37,32.22,67.78,55.81,54,4,58,64,0
19,NEW_YORK,180,0.000084,0.0072,23.88,15.00,85.00,51.82,17,10,51,102,0
20,NEW_YORK,180,0.000088,0.0076,26.75,26.67,73.33,43.47,3,45,90,42,0
21,NEW_YORK,180,0.000061,0.0052,24.57,15.00,85.00,52.65,20,7,107,46,0
22,ASIAN,180,0.000055,0.0048,17.79,6.11,93.89,55.67,9,2,146,23,0
23,ASIAN,180,0.000045,0.0039,27.75,34.44,65.56,49.76,35,27,91,27,0
