Direction,EntryPrice,ExitPrice,PnL,BarsHeld,ExitReason,RSI,ATR,Volatility,Trend,AgainstTrend,PinBarType,WickRatio,BodyRatio,NearBB,MaxFavorable%,MaxAdverse%,ReachedTP,ReachedSL,ImmediateReversal,NearMiss,Hour,DayOfWeek
CALL,3933.05,3928.61,-2.26,30,TIMEOUT,46.2,3.0922,low,sideways,Yes,bullish,85.8,14.2,No,0.08,0.23,No,No,No,No,7,2
CALL,3926.24,3914.46,-6.00,11,SL,37.2,2.9466,low,down,Yes,bullish,82.3,15.4,Yes,0.00,0.33,No,Yes,No,No,8,2
PUT,3892.66,3904.34,-6.00,6,SL,37.8,3.4082,low,sideways,No,bearish,85.4,2.8,No,0.00,0.37,No,Yes,No,No,9,2
PUT,3898.92,3907.84,-4.58,30,TIMEOUT,38.0,2.5173,low,down,No,bearish,51.7,20.0,No,0.03,0.27,No,No,No,No,9,2
PUT,3911.97,3923.71,-6.00,19,SL,65.6,2.7435,low,up,Yes,bearish,51.8,13.2,Yes,0.02,0.32,No,Yes,No,No,10,2
PUT,3924.41,3928.37,-2.02,30,TIMEOUT,63.3,2.5661,low,up,Yes,bearish,71.4,9.3,Yes,0.08,0.14,No,No,No,No,11,2
CALL,3918.59,3906.83,-6.00,12,SL,36.9,2.6156,low,down,Yes,bullish,80.1,15.4,Yes,0.06,0.33,No,Yes,No,No,12,2
CALL,3929.81,3918.02,-6.00,16,SL,59.9,2.8208,low,sideways,No,bullish,65.4,0.3,No,0.10,0.36,No,Yes,No,No,13,2
PUT,3943.77,3955.60,-6.00,24,SL,48.4,2.3906,low,sideways,No,bearish,77.2,11.4,No,0.03,0.32,No,Yes,No,No,14,2
PUT,3958.39,3963.54,-2.60,30,TIMEOUT,67.8,2.4144,low,up,Yes,bearish,71.7,9.6,Yes,0.04,0.16,No,No,No,No,15,2
CALL,3965.86,3963.83,-1.02,30,TIMEOUT,66.1,1.3166,low,sideways,No,bullish,78.4,9.6,No,0.09,0.27,No,No,No,No,15,2
CALL,3968.52,3965.35,-1.60,30,TIMEOUT,70.2,2.3264,low,up,No,bullish,53.3,28.0,No,0.04,0.17,No,No,No,No,17,2
CALL,3961.79,3954.97,-3.44,30,TIMEOUT,48.0,2.2471,low,sideways,Yes,bullish,84.2,15.8,No,0.09,0.18,No,No,No,No,17,2
CALL,3955.90,3953.14,-1.40,30,TIMEOUT,51.4,1.4395,low,sideways,No,bullish,72.3,23.5,Yes,0.17,0.10,No,No,No,No,19,2
PUT,3947.83,3959.67,-6.00,29,SL,65.8,1.8292,low,sideways,Yes,bearish,51.2,1.7,No,0.01,0.32,No,Yes,No,No,23,2
CALL,3976.35,3976.26,-0.05,30,TIMEOUT,51.6,2.6707,low,sideways,No,bullish,69.3,30.7,No,0.07,0.25,No,No,No,No,1,3
CALL,3995.40,3995.38,-0.01,30,TIMEOUT,81.1,2.7438,low,up,No,bullish,50.8,17.9,No,0.08,0.14,No,No,No,No,7,3
PUT,4010.09,4017.10,-3.50,30,TIMEOUT,63.6,1.7439,low,sideways,Yes,bearish,53.7,14.9,Yes,0.07,0.21,No,No,No,No,8,3
CALL,4023.00,4022.84,-0.08,30,TIMEOUT,69.1,1.8984,low,up,No,bullish,70.8,14.6,No,0.17,0.14,No,No,No,No,9,3
CALL,4006.76,3997.25,-4.75,30,TIMEOUT,39.7,2.2342,low,sideways,Yes,bullish,57.5,11.7,Yes,0.08,0.25,No,No,No,No,15,3
CALL,3997.64,3991.81,-2.92,30,TIMEOUT,46.7,1.4996,low,sideways,Yes,bullish,68.7,5.4,Yes,0.06,0.15,No,No,No,No,16,3
PUT,3992.26,3993.50,-0.62,30,TIMEOUT,34.6,1.1661,low,sideways,No,bearish,54.7,17.2,No,0.15,0.14,No,No,No,No,17,3
PUT,3994.23,4006.21,-6.00,23,SL,55.4,1.5576,low,sideways,Yes,bearish,83.3,16.7,Yes,0.38,0.32,No,Yes,No,Yes,17,3
CALL,3990.99,3979.02,-6.00,19,SL,44.9,6.3207,medium,sideways,Yes,bullish,56.7,0.0,Yes,0.16,0.34,No,Yes,No,No,18,3
