TradeID,Direction,EntryTime,EntryPrice,EntryRSI,ExitReason,Profit,BarsHeld,BestPricePct,ImmediateReversal,NearMiss,SqueezeDuration,ATR,HourOfDay,DayOfWeek
3,SHORT,2025-10-24T19:53:00.000Z,53704.19,43.6,SL,-107.41,18,66.0,0,1,10,83.24,19,5
4,LONG,2025-10-24T20:26:00.000Z,53896.03,67.5,SL,-107.79,9,19.1,0,0,14,71.71,20,5
6,LONG,2025-10-24T21:08:00.000Z,54446.00,76.8,SL,-108.89,6,41.7,0,0,5,85.66,21,5
7,SHORT,2025-10-24T22:06:00.000Z,54368.35,37.8,SL,-108.74,3,33.6,1,0,9,92.89,22,5
8,LONG,2025-10-24T22:22:00.000Z,54685.72,61.2,SL,-109.37,3,7.0,1,0,4,82.01,22,5
11,LONG,2025-10-25T00:26:00.000Z,54533.53,62.0,SL,-109.07,6,30.9,0,0,3,81.14,0,6
13,LONG,2025-10-25T01:35:00.000Z,54157.98,67.9,SL,-108.32,1,4.8,1,0,3,76.73,1,6
14,SHORT,2025-10-25T01:42:00.000Z,53775.50,35.8,SL,-107.55,2,8.4,1,0,3,80.52,1,6
15,LONG,2025-10-25T02:39:00.000Z,53783.83,57.2,SL,-107.57,5,15.3,0,0,5,70.54,2,6
16,LONG,2025-10-25T03:03:00.000Z,53852.53,62.2,SL,-107.71,11,50.4,0,1,6,78.17,3,6
17,SHORT,2025-10-25T03:17:00.000Z,53628.47,41.6,SL,-107.26,19,60.8,0,1,6,85.74,3,6
18,LONG,2025-10-25T03:41:00.000Z,53774.57,55.5,SL,-107.55,5,34.2,0,0,8,80.86,3,6
19,LONG,2025-10-25T03:48:00.000Z,53868.13,63.0,SL,-107.74,19,66.9,0,1,9,85.04,3,6
20,SHORT,2025-10-25T04:42:00.000Z,53871.07,42.3,SL,-107.74,18,71.5,0,1,7,81.59,4,6
24,SHORT,2025-10-25T06:38:00.000Z,54280.29,39.9,SL,-108.56,6,42.8,0,0,5,79.99,6,6
25,SHORT,2025-10-25T07:01:00.000Z,54112.12,34.4,SL,-108.22,8,34.3,0,0,2,80.50,7,6
27,SHORT,2025-10-25T08:00:00.000Z,53732.37,32.3,SL,-107.46,35,75.3,0,1,2,73.09,8,6
28,SHORT,2025-10-25T08:56:00.000Z,53168.97,24.6,SL,-106.34,2,0.0,1,0,6,80.90,8,6
29,SHORT,2025-10-25T09:42:00.000Z,53094.60,39.1,SL,-106.19,8,67.3,0,1,17,75.49,9,6
30,SHORT,2025-10-25T10:16:00.000Z,52752.57,32.0,SL,-105.51,9,35.6,0,0,1,66.39,10,6
