TradeID,Direction,EntryTime,EntryPrice,EntryRSI,ExitReason,Profit,BarsHeld,BestPricePct,SqueezeDuration,ATR,HourOfDay,DayOfWeek
1,LONG,2025-10-24T17:49:00.000Z,53818.52,61.9,TP,215.27,22,112.6,12,76.67,17,5
2,SHORT,2025-10-24T18:17:00.000Z,53757.87,42.3,TP,215.03,8,117.3,2,78.90,18,5
5,LONG,2025-10-24T20:51:00.000Z,53953.55,63.1,TP,215.81,10,137.4,8,80.90,20,5
9,LONG,2025-10-24T22:52:00.000Z,54578.51,57.5,TP,218.31,10,119.7,1,83.45,22,5
10,SHORT,2025-10-24T23:28:00.000Z,54631.01,42.9,TP,218.52,11,111.3,2,80.74,23,5
12,SHORT,2025-10-25T00:36:00.000Z,54273.20,36.0,TP,217.09,6,116.9,3,82.26,0,6
21,LONG,2025-10-25T05:02:00.000Z,54015.62,57.9,TP,216.06,10,104.6,5,75.56,5,6
22,LONG,2025-10-25T05:39:00.000Z,54610.92,69.6,TP,218.44,11,102.7,5,81.41,5,6
23,SHORT,2025-10-25T05:59:00.000Z,54300.91,32.5,TP,217.20,3,108.4,2,78.75,5,6
26,SHORT,2025-10-25T07:29:00.000Z,53953.05,33.1,TP,215.81,5,100.7,9,72.70,7,6
34,LONG,2025-10-25T13:18:00.000Z,53883.81,58.7,TP,215.54,20,129.0,5,78.81,13,6
41,SHORT,2025-10-25T16:50:00.000Z,53703.35,36.9,TP,214.81,4,123.2,20,69.67,16,6
44,SHORT,2025-10-25T17:42:00.000Z,53441.79,34.0,TP,213.77,4,117.9,7,91.38,17,6
50,SHORT,2025-10-25T19:34:00.000Z,53303.59,31.8,TP,213.21,7,143.2,4,76.68,19,6
54,LONG,2025-10-25T20:55:00.000Z,53207.62,55.9,TP,212.83,13,118.4,8,77.03,20,6
57,SHORT,2025-10-25T22:29:00.000Z,53320.33,33.0,TP,213.28,17,100.3,9,81.11,22,6
58,SHORT,2025-10-25T22:47:00.000Z,53017.75,28.9,TP,212.07,8,133.1,3,84.58,22,6
60,SHORT,2025-10-26T00:01:00.000Z,52414.40,38.9,TP,209.66,9,128.3,4,74.15,0,0
61,LONG,2025-10-26T00:32:00.000Z,52342.55,58.5,TP,209.37,33,110.0,4,69.98,0,0
66,SHORT,2025-10-26T04:17:00.000Z,51100.00,41.2,TP,204.40,8,109.0,20,73.08,4,0
67,SHORT,2025-10-26T04:47:00.000Z,50876.02,33.1,TP,203.50,10,109.9,2,69.03,4,0
68,SHORT,2025-10-26T05:24:00.000Z,50639.62,40.1,TP,202.56,16,116.9,7,70.63,5,0
72,SHORT,2025-10-26T07:15:00.000Z,50360.12,41.7,TP,201.44,6,105.1,20,65.68,7,0
74,LONG,2025-10-26T08:35:00.000Z,49872.44,59.8,TP,199.49,26,107.1,15,69.51,8,0
82,LONG,2025-10-26T11:34:00.000Z,49979.22,57.7,TP,199.92,4,103.5,7,70.48,11,0
83,LONG,2025-10-26T11:39:00.000Z,50255.37,73.3,TP,201.02,13,106.8,2,70.82,11,0
87,SHORT,2025-10-26T14:18:00.000Z,50430.84,39.5,TP,201.72,9,130.9,20,74.63,14,0
96,SHORT,2025-10-26T17:48:00.000Z,50254.42,38.4,TP,201.02,3,108.6,6,81.60,17,0
97,SHORT,2025-10-26T19:19:00.000Z,49400.17,39.6,TP,197.60,10,102.0,9,74.43,19,0
99,LONG,2025-10-26T21:11:00.000Z,50258.74,60.0,TP,201.03,10,103.3,11,76.11,21,0
101,LONG,2025-10-26T21:56:00.000Z,50575.76,64.9,TP,202.30,11,154.0,11,76.87,21,0
